,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFABuilding,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,OtherFuelUse_kBtu,GHGEmissions_MetricTonsCO2e,GHGEmissionsIntensity_kgCO2e_ft2
3340,1,NonResidential,Hotel,DOWNTOWN,1.0,88434,88434.0,0.0,0.0,,60.0,7226362.5,2003882.0,3946027.0,1276453.0,0.5,249.98,2.83
3341,2,NonResidential,Hotel,DOWNTOWN,1.0,88502,83880.0,15064.0,4622.0,,61.0,8387933.0,0.0,3242851.0,5145082.0,0.0,295.86,2.86
3342,3,NonResidential,Hotel,DOWNTOWN,1.0,759392,756493.0,0.0,0.0,,43.0,72587024.0,21566554.0,49526664.0,1493800.0,6.0,2089.28,2.19
3343,5,NonResidential,Hotel,DOWNTOWN,1.0,61320,61320.0,0.0,0.0,,56.0,6794584.0,2214446.25,2768924.0,1811213.0,0.75,286.43,4.67
3344,8,NonResidential,Hotel,DOWNTOWN,1.0,113580,123445.0,68009.0,0.0,,75.0,14172606.0,0.0,5368607.0,8803998.0,1.0,505.01,2.88
3345,9,Nonresidential COS,Other,DOWNTOWN,1.0,60090,88830.0,0.0,0.0,,,12086616.0,0.0,7371434.0,4715182.0,0.0,301.81,3.1
3346,10,NonResidential,Hotel,DOWNTOWN,1.0,83008,81352.0,0.0,0.0,,27.0,5758795.0,0.0,2811215.0,2947580.0,0.0,176.14,2.12
3347,11,NonResidential,Other,DOWNTOWN,1.0,102761,102761.0,0.0,0.0,,,6298131.5,2276286.5,3636655.0,385189.0,1.0,221.51,2.16
3348,12,NonResidential,Hotel,DOWNTOWN,1.0,163984,163984.0,0.0,0.0,,43.0,13723820.0,0.0,7297919.0,6425900.0,1.0,392.16,2.39
3349,13,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,1.0,62216,56132.0,0.0,0.0,,1.0,4573777.0,1039735.188,2532015.0,1002026.0,0.8119999999180436,151.12,2.37
3350,15,NonResidential,Hotel,DOWNTOWN,1.0,133884,133884.0,0.0,0.0,,30.0,16016644.0,5237165.5,6187627.0,4591850.0,1.5,691.26,4.51
3351,16,NonResidential,Hotel,DOWNTOWN,1.0,272015,336640.0,0.0,0.0,,36.0,26941110.0,5999360.5,18083049.0,2858700.0,0.5,740.97,2.22
3352,17,NonResidential,Hotel,DOWNTOWN,1.0,65009,65009.0,0.0,0.0,,48.0,6596057.5,1656352.5,1343000.0,3596705.0,0.0,328.23,5.05
3353,18,NonResidential,Hotel,DOWNTOWN,1.0,258352,295511.0,57600.0,0.0,,58.0,22325364.0,4337738.5,13904183.0,4083440.0,2.5,648.62,2.05
3354,19,NonResidential,Hotel,DOWNTOWN,1.0,66990,67390.0,25200.0,0.0,,35.0,10750010.0,4870847.5,3832369.0,2046793.0,0.5,511.39,5.55
3355,21,Nonresidential COS,Other,DOWNTOWN,1.0,355000,364913.0,49000.0,1074.0,,,18588860.0,737559.5,17851297.0,0.0,3.5,181.38,0.44
3356,22,NonResidential,Other,DOWNTOWN,1.0,103911,90000.0,40000.0,0.0,,,9956396.0,4592347.5,4453868.0,910180.0,0.5,433.86,4.18
3357,23,NonResidential,Hotel,DOWNTOWN,1.0,331281,348329.0,85000.0,0.0,,31.0,33556756.0,0.0,21225277.0,12331475.0,4.0,802.89,1.93
